Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1967,64439,64377,64741,65144,65540,66451,66015,66262,66549,66684,67210,67758
1968,65853,66203,66553,67260,67581,68617,68199,68397,68826,69187,69509,70085
1969,68494,68712,69208,69799,70285,71363,70746,71024,71235,71601,71630,72041
1970,70229,70332,70786,71105,71123,71766,71000,70900,71257,71022,70983,71564
1971,69922,69844,70209,70795,71287,72006,71194,71298,71931,72180,72479,72880
1972,71481,71668,72261,72894,73525,74507,73502,74054,74612,75290,75704,76078
1973,74613,74989,75544,76132,76712,77630,76691,77095,77682,78306,78707,78839
1974,77045,77163,77485,78035,78637,79336,78438,78584,79084,79381,79060,78419
1975,76189,75764,75808,76142,76774,77270,76592,77120,77726,78283,78437,78726
1976,77376,77605,78214,79042,79534,80164,79393,79659,80362,80593,80953,81129
1977,79540,79747,80604,81539,82376,83338,82677,82971,83922,84423,84868,85105
1978,83442,83738,84732,86037,86842,87830,87002,87305,87932,88549,89099,89408
1979,87650,87889,88792,89313,90126,90971,89976,90072,90616,91089,91287,91415
1980,89631,89764,90324,90747,90763,90922,89582,89865,90530,91128,91475,91661
1981,89837,89985,90520,91157,91647,92296,91371,91378,91876,92054,91888,91555
1982,89328,89417,89710,89993,90478,90669,89338,89212,89628,89598,89495,89396
1983,87729,87741,88344,89187,90019,90844,90271,89998,91719,92233,92592,92863
1984,91374,91940,92659,93614,94489,95305,94607,94888,95808,96362,96738,96793
1985,95049,95259,96055,96875,97726,98279,97418,97667,98476,98987,99240,99356
1986,97397,97590,98138,98973,99667,99973,99219,99393,100317,100886,101141,101300
1987,99334,99657,100367,101369,102135,102742,101990,102219,102986,103893,104232,104472
1988,102380,102951,103693,104587,105347,106208,105315,105477,106341,107013,107500,107722
1989,105743,106170,106813,107611,108294,108937,107848,107927,108724,109217,109657,109666
1990,107573,108069,108724,109365,110270,110837,109568,109450,110045,110242,110205,109976
1991,107426,107394,107683,108072,108754,109235,108033,108125,108842,109212,109229,109113
1992,106726,106978,107498,108333,109140,109629,108611,108667,109452,110039,110280,110269
1993,108103,108706,109140,110144,111107,111698,110829,110940,111929,112595,112940,113088
1994,110839,111419,112394,113474,114486,115275,114331,114639,115698,116324,116932,116970
1995,114662,115320,116076,116909,117632,118347,117113,117377,118292,118893,119132,119130
1996,116431,117370,118175,119013,120140,120804,119767,120059,120804,121524,121984,121963
1997,119421,120282,121165,122140,123221,123870,122886,122954,123958,124861,125255,125393
1998,122842,123618,124341,125382,126466,127129,126057,126299,127108,127887,128290,128459
1999,125707,126697,127409,128555,129423,130149,129280,129336,130114,131049,131509,131646
2000,129005,129667,130764,131762,132718,133230,132011,132023,132690,133249,133614,133555
2001,130681,131348,131942,132349,133056,133435,131946,131876,132142,132344,132155,131773
2002,128890,129362,129969,130558,131329,131711,130270,130356,130875,131546,131667,131259
2003,128577,128994,129490,130148,130909,131239,129900,129953,130608,131401,131565,131385
2004,128726,129337,130378,131495,132398,132843,131682,131702,132417,133398,133648,133418
2005,130713,131536,132376,133589,134403,135071,134011,134261,134889,135617,136174,135973
2006,133320,134245,135226,136140,136946,137448,136273,136479,137149,137849,138234,138124
2007,135335,136026,136922,137730,138673,139177,137778,137890,138456,139198,139510,139298
2008,136268,136787,137378,137914,138488,138683,137203,137094,137148,137442,136762,135732
2009,132042,131808,131675,131859,132133,131950,130353,130231,130590,131188,131235,130690
2010,127820,128255,129089,130212,131328,131448,130111,130175,130668,131641,131947,131641
2011,128778,129592,130498,131715,132399,132889,131615,131890,132636,133558,133893,133718
2012,131113,132067,132971,133854,134667,135005,133794,134175,134802,135649,136038,135964
2013,133081,134120,134919,135923,136816,137226,136052,136489,137097,138019,138543,138292
2014,135488,136230,137187,138325,139237,139824,138745,139125,139812,140866,141331,141327
2015,138511,139343,140099,141286,142233,142717,141774,141973,142520,143689,144122,144116
2016,141150,141987,142877,,,,,,,,,
